trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1313,50000002,380783138
GAP/bc-12.trace.gz,0.1247,50000000,400930390
GAP/bfs-10.trace.gz,0.4426,50000006,112973326
GAP/bfs-14.trace.gz,0.3294,50000006,151768130
GAP/cc-13.trace.gz,0.3123,50000000,160097645
GAP/cc-14.trace.gz,0.3505,50000006,142663491
GAP/cc-5.trace.gz,0.381,50000000,131249277
GAP/sssp-10.trace.gz,0.4045,50000006,123611483
GAP/sssp-14.trace.gz,0.4096,50000002,122084001
charlie/charlie_0000.champsim.gz,0.7177,50000006,69669494
charlie/charlie_0001.champsim.gz,0.8614,50000003,58045623
charlie/charlie_0002.champsim.gz,0.4685,50000005,106732335
charlie/charlie_0003.champsim.gz,0.698,50000000,71637430
charlie/charlie_0004.champsim.gz,0.5913,50000002,84554250
